Type,Temperature,ScoreMethod,Predictor,CoverageRate,AvgSetSize
single,1.5,APS,SplitPredictor_CM,0.9010000228881836,0.9150999784469604
single,1.5,RAPS,SplitPredictor_CM,0.8859000205993652,0.8952999711036682
single,1.5,SAPS,SplitPredictor_CM,0.8913999795913696,0.9075000286102295
single,1.5,TOPK,SplitPredictor_CM,0.895799994468689,0.9013000130653381
single,1.5,KNN,SplitPredictor_CM,0.9039999842643738,0.9046000242233276
ensemble,1.5,APS,SplitPredictor_CM,0.8949999809265137,0.9082000255584717
ensemble,1.5,RAPS,SplitPredictor_CM,0.888700008392334,0.8980000019073486
ensemble,1.5,SAPS,SplitPredictor_CM,0.8930000066757202,0.909500002861023
ensemble,1.5,TOPK,SplitPredictor_CM,0.8925999999046326,0.8985999822616577
ensemble,1.5,KNN,SplitPredictor_CM,0.857200026512146,0.857200026512146
mc_dropout,1.5,APS,SplitPredictor_CM,0.8996999859809875,0.9140999913215637
mc_dropout,1.5,RAPS,SplitPredictor_CM,0.8914999961853027,0.8998000025749207
mc_dropout,1.5,SAPS,SplitPredictor_CM,0.902400016784668,0.9190000295639038
mc_dropout,1.5,TOPK,SplitPredictor_CM,0.892300009727478,0.8982999920845032
mc_dropout,1.5,KNN,SplitPredictor_CM,0.9039999842643738,0.9046000242233276
